Valle Vista Fountain,                                  34435787, -119810958,  0, False
Multi Cultural Center,                                 34411540, -119846384,  0, False
University Art Museum,                                 34412415, -119849317,  0, True
Storke Plaza Memorial,                                 34412790, -119846904,  0, True
Girvetz Hall Memorial,                                 34413512, -119846918,  0, False
Maya Basketball Mural,                                 34415045, -119862093,  0, False
Fake Plastic Gorillas,                                 34417058, -119850338,  0, False
Global Climate Change,                                 34417474, -119873970,  0, False
Local Wetland History,                                 34421295, -119861978,  0, False
Linehan Family Courts,                                 34426069, -119872561,  0, False
Girsh Park North-West,                                 34426972, -119876924,  0, False
Chuck Wagner Memorial,                                 34432821, -119905577,  0, False
City of Sea and Light,                                 34433703, -119811660,  0, False
San Miguel Open Space,                                 34439130, -119905547,  0, False
Southern Pacific 4023,                                 34442598, -119852836,  0, False
Informational Monument,                                34408052, -119850996,  0, False
Isla Vista Wall Murals,                                34412961, -119856310,  0, False
Physical Science North,                                34415229, -119843611,  0, False
The Devereux Watershed,                                34415344, -119874152,  0, False
Cabrillo Business Park,                                34430180, -119859917,  0, False
Goleta Amtrack Station,                                34437646, -119842147,  0, False
Bella Vista Open Space,                                34438839, -119883785,  0, False
Goleta Lutheran Church,                                34444131, -119854222,  0, False
Camino Corto Open Space,                               34412589, -119868011,  0, False
Camino Corto Open Space,                               34412895, -119869423,  0, False
Earle Ovington Terminal,                               34425454, -119836139,  0, False
Camino Real Spire Tower,                               34429285, -119872714,  0, False
Performing Arts Building,                              34413078, -119850906,  0, False
Zipcar-6524 Pardall Road,                              34413132, -119854448,  0, False
Goleta Beach Wind Chimes,                              34416924, -119833220,  0, False
Jameson Community Center,                              34418721, -119861855,  0, False
The Trust of Public Land,                              34421531, -119883502,  0, False
John T. Rickard Terminal,                              34424655, -119836137,  0, False
Harriett Phillips Meadow,                              34424843, -119873597,  0, False
Shigeo Yamasaki Memorial,                              34425963, -119873516,  0, False
Jubilee Christian Church,                              34430400, -119878292,  0, False
City of Goleta City Hall,                              34432505, -119855385,  0, False
The California Gray Whale,                             34407610, -119851016,  0, False
Birds of Devereaux Slough,                             34411769, -119877027,  0, False
Wheelbarrow of Creativity,                             34414612, -119843358,  0, False
Coal Oil Native Grassland,                             34416667, -119877770,  0, False
Good Time Clock IV at SBA,                             34424675, -119836643,  0, False
Ellwood Mesa Welcome Sign,                             34428864, -119896731,  0, False
Bone Shaped Swimming Pool,                             34430324, -119882802,  0, False
Original Goleta Town Site,                             34435148, -119809674,  0, False
Evergreen Open Space Park,                             34439847, -119892596,  0, False
Lotte Lehmann Concert Hall,                            34412056, -119846856,  0, False
Girsh Hochman Soccer Field,                            34424587, -119871796,  0, False
Girsh Park - Elings Fields,                            34425475, -119874074,  0, False
Stow House & Sexton Museum,                            34442891, -119853501,  0, False
Natural & History Preserve,                            34443607, -119851358,  0, False
Goleta Ranch Yard Windmill,                            34443958, -119851996,  0, False
Aloha Bench at Campus Point,                           34406016, -119844164,  0, False
College of Creative Studies,                           34411336, -119845722,  0, False
Coronado Butterfly Preserve,                           34425407, -119889622,  0, False
Winchester Commons Fountain,                           34432872, -119902773,  0, False
Rancho Embarcadero Fountain,                           34435029, -119915221,  0, False
South Coast Railroad Museum,                           34442486, -119852631,  0, False
south coast railroad museum,                           34442777, -119852777,  0, False
Isla Vista Massacre Memorial,                          34410857, -119856826,  0, False
Jamba Juice UC Santa Barbara,                          34411770, -119848019,  0, True
Robert Thomas Tribute Statue,                          34412788, -119846496,  0, False
Snowy Plover Beach Trailhead,                          34420829, -119893316,  0, False
Rotating Windmill Clock Tower,                         34412230, -119851290,  0, True
Tierra De Fortuna Stegosaurus,                         34412723, -119869023,  0, False
Del Solar Vernal Pool Reserve,                         34414977, -119866393,  0, False
UCSB Recreation Center Fields,                         34417337, -119850317,  0, False
Sundial at Pavilion Gymnasium,                         34418932, -119848934,  0, False
Dark Metal Fountain Sculpture,                         34434027, -119811881,  0, False
St. Athansius Orthodox Church,                         34435024, -119814255,  0, False
Old Town Goleta Historic Sign,                         34437327, -119831566,  0, False
UCSB Art & Architecture Museum,                        34412038, -119848710,  0, True
UCSB Family Student Playground,                        34421479, -119863205,  0, False
Barnsdall Historic Gas Station,                        34429695, -119901384,  0, False
World War II Historical Marker,                        34431731, -119915241,  0, False
Goleta Valley Community Center,                        34435382, -119823423,  0, False
Juan Bautista De Anze Monument,                        34435486, -119823107,  0, False
Native Plants of UCSB Shoreline,                       34406591, -119847458,  0, False
Native Plants of UCSB Shoreline,                       34406879, -119847332,  0, False
UCSB Art Department Rock Garden,                       34412047, -119849279,  0, True
Goleta Courtyard Marriott Mural,                       34424758, -119870261,  0, False
Isla Vista Waterwheel & Windmill,                      34412169, -119856417,  0, False
Mural Near Children's Playground,                      34414955, -119861285,  0, False
Ellwood Butterfly South Entrance,                      34422290, -119890428,  0, False
Islamic Society of Santa Barbara,                      34431245, -119819599,  0, False
Dune Restoration and Biodiversity,                     34407598, -119849880,  0, False
Dune Restoration and Biodiversity,                     34407653, -119850281,  0, False
Coal Oil Point Reserve Pond Trail,                     34412662, -119882685,  0, False
St. Michael and all Angels Church,                     34415411, -119858108,  0, False
Coal Oil Point Reserve Pond Trail,                     34417577, -119877049,  0, False
Flying Pencils  Peter Logan (1986),                    34415810, -119845635,  0, False
Christ Lutheran Church Tower Spire,                    34444433, -119853617,  0, False
Dune Processes and Seasonal Dynamics,                  34406702, -119848040,  0, False
Coal Oil Reserve Habitat Restoration,                  34415969, -119877037,  0, False
Albatross V Dynamic Glider Sculpture,                  34424381, -119836040,  0, False
Sculptured Figures in Glazed Terrra Cotta,             34415676, -119852330,  0, False
St. Marks University Parish Roman Catholic,            34415200, -119856899,  0, False
University of California Natural Land Marker,          34407716, -119878218,  0, False
Channel Islands National Marine Sanctuary HQ,          34411896, -119841977,  0, False
Santa Barbara Korean Unified Methodist Church,         34413123, -119862420,  0, False
Historic Marine Corps Air Station Santa Barbara,       34426677, -119831584,  0, False
Ucsb Hillel Jewish Student Center and Religious Space, 34415427, -119857182,  0, False
